Date,DayOfWeek,Month,Year,DateID
2020-10-03,5,10,2020,199
2020-10-04,6,10,2020,200
2020-10-08,3,10,2020,201
2020-10-09,4,10,2020,202
2020-10-12,0,10,2020,203
2020-10-13,1,10,2020,204
2020-10-16,4,10,2020,205
2020-10-17,5,10,2020,206
2020-10-19,0,10,2020,207
2020-10-20,1,10,2020,208
2020-10-21,2,10,2020,209
2020-10-22,3,10,2020,210
2020-10-26,0,10,2020,211
2020-10-28,2,10,2020,212
2020-10-30,4,10,2020,213
2020-11-04,2,11,2020,214
2020-11-05,3,11,2020,215
2020-11-06,4,11,2020,216
2020-11-11,2,11,2020,217
2020-11-17,1,11,2020,218
2020-11-18,2,11,2020,219
2020-11-20,4,11,2020,220
2020-11-24,1,11,2020,221
2020-11-25,2,11,2020,222
2020-11-27,4,11,2020,223
2020-11-28,5,11,2020,224
2020-11-30,0,11,2020,225
2020-12-01,1,12,2020,226
2020-12-02,2,12,2020,227
2020-12-04,4,12,2020,228
2020-12-08,1,12,2020,229
2020-12-12,5,12,2020,230
2020-12-14,0,12,2020,231
2020-05-27,2,5,2020,232
2020-10-15,3,10,2020,233
2020-12-15,1,12,2020,234
2020-12-21,0,12,2020,235
2020-12-30,2,12,2020,236
2021-01-04,0,1,2021,237
2021-01-06,2,1,2021,238
2021-01-07,3,1,2021,239
2021-01-08,4,1,2021,240
2021-01-09,5,1,2021,241
2021-01-12,1,1,2021,242
2021-01-13,2,1,2021,243
2021-01-14,3,1,2021,244
2021-01-15,4,1,2021,245
2021-01-16,5,1,2021,246
2021-01-18,0,1,2021,247
2021-01-19,1,1,2021,248
2021-01-20,2,1,2021,249
2021-01-21,3,1,2021,250
2021-01-22,4,1,2021,251
2021-01-23,5,1,2021,252
2021-01-25,0,1,2021,253
2021-01-26,1,1,2021,254
2021-02-02,1,2,2021,255
2021-02-03,2,2,2021,256
2021-02-05,4,2,2021,257
2021-02-08,0,2,2021,258
2021-02-09,1,2,2021,259
2021-02-10,2,2,2021,260
2021-02-11,3,2,2021,261
2021-02-15,0,2,2021,262
2021-02-16,1,2,2021,263
2021-02-17,2,2,2021,264
2021-02-18,3,2,2021,265
2021-02-19,4,2,2021,266
2020-12-10,3,12,2020,267
2021-02-22,0,2,2021,268
2021-02-24,2,2,2021,269
2021-02-26,4,2,2021,270
2021-03-01,0,3,2021,271
2021-03-03,2,3,2021,272
2021-03-05,4,3,2021,273
2021-03-06,5,3,2021,274
2021-03-09,1,3,2021,275
2021-03-10,2,3,2021,276
2021-03-11,3,3,2021,277
2021-03-12,4,3,2021,278
2021-03-15,0,3,2021,279
2021-03-16,1,3,2021,280
2021-03-17,2,3,2021,281
2021-03-18,3,3,2021,282
2021-03-19,4,3,2021,283
2021-03-22,0,3,2021,284
2021-03-23,1,3,2021,285
2021-03-24,2,3,2021,286
2021-03-26,4,3,2021,287
2021-03-29,0,3,2021,288
2021-03-30,1,3,2021,289
2021-04-02,4,4,2021,290
2021-04-06,1,4,2021,291
2021-04-07,2,4,2021,292
2021-04-09,4,4,2021,293
2021-04-10,5,4,2021,294
2021-04-11,6,4,2021,295
2021-04-12,0,4,2021,296
2021-04-17,5,4,2021,297
2021-04-19,0,4,2021,298
2021-04-20,1,4,2021,299
2021-04-21,2,4,2021,300
2021-04-22,3,4,2021,301
2021-04-23,4,4,2021,302
2021-04-26,0,4,2021,303
2021-04-27,1,4,2021,304
2021-04-28,2,4,2021,305
2021-05-06,3,5,2021,306
2021-05-10,0,5,2021,307
2021-05-12,2,5,2021,308
2021-05-13,3,5,2021,309
2021-05-19,2,5,2021,310
2021-05-20,3,5,2021,311
2021-05-21,4,5,2021,312
2021-05-24,0,5,2021,313
2021-05-27,3,5,2021,314
2021-06-01,1,6,2021,315
2021-06-02,2,6,2021,316
2021-06-03,3,6,2021,317
2021-06-07,0,6,2021,318
2021-06-08,1,6,2021,319
2021-06-09,2,6,2021,320
2021-06-15,1,6,2021,321
2021-06-16,2,6,2021,322
2021-06-18,4,6,2021,323
2021-06-21,0,6,2021,324
2021-06-22,1,6,2021,325
2021-06-23,2,6,2021,326
2021-06-24,3,6,2021,327
2021-06-25,4,6,2021,328
2021-06-28,0,6,2021,329
2021-06-30,2,6,2021,330
2021-07-01,3,7,2021,331
2021-07-02,4,7,2021,332
2021-07-05,0,7,2021,333
2021-07-06,1,7,2021,334
2021-07-08,3,7,2021,335
2021-07-13,1,7,2021,336
2021-07-14,2,7,2021,337
2021-07-19,0,7,2021,338
2021-07-20,1,7,2021,339
2021-07-23,4,7,2021,340
2021-07-26,0,7,2021,341
2021-07-27,1,7,2021,342
2021-07-28,2,7,2021,343
2021-07-30,4,7,2021,344
2021-07-31,5,7,2021,345
2021-08-02,0,8,2021,346
2021-08-03,1,8,2021,347
2021-08-05,3,8,2021,348
2021-08-06,4,8,2021,349
2021-08-09,0,8,2021,350
2021-08-10,1,8,2021,351
2021-08-13,4,8,2021,352
2021-08-19,3,8,2021,353
2021-08-23,0,8,2021,354
2021-08-24,1,8,2021,355
2021-08-25,2,8,2021,356
2021-08-26,3,8,2021,357
2021-08-27,4,8,2021,358
2021-07-12,0,7,2021,359
2021-08-30,0,8,2021,360
2021-09-02,3,9,2021,361
2021-09-03,4,9,2021,362
2021-09-06,0,9,2021,363
2021-09-07,1,9,2021,364
2021-09-10,4,9,2021,365
2021-09-15,2,9,2021,366
2021-09-17,4,9,2021,367
2021-09-20,0,9,2021,368
2021-09-22,2,9,2021,369
2021-09-23,3,9,2021,370
2021-09-27,0,9,2021,371
2021-09-28,1,9,2021,372
2021-09-29,2,9,2021,373
